id,persona,question,answer,context,disease_phase,tags,source_file,chunk_index,pass_num,judge_score
chikungunya_qa_0001,Paciente,Quem deve tomar a vacina IXCHIQ?,A vacina IXCHIQ é indicada para pessoas com 18 anos ou mais que estejam em risco aumentado de exposição ao vírus chikungunya.,A vacina é indicada IXCHIQ para a prevenção da doença causada pelo vírus da chikungunya em indivíduos com 18 anos ou mais que estejam em risco aumentado de exposição ao vírus chikungunya.,N/A (Geral),"#Vacinação, #Chikungunya",IXCHIQ (vacina chikungunya) novo registro.md,0,1,100.0
chikungunya_qa_0002,Paciente,Qual é a doença que a vacina IXCHIQ previne?,"A vacina IXCHIQ é indicada para a prevenção da doença causada pelo vírus da chikungunya, especificamente em indivíduos com 18 anos ou mais que estejam em risco aumentado de exposição ao vírus chikungunya.",A vacina é indicada IXCHIQ para a prevenção da doença causada pelo vírus da chikungunya em indivíduos com 18 anos ou mais que estejam em risco aumentado de exposição ao vírus chikungunya.,N/A (Geral),"#Vacinação, #Chikungunya",IXCHIQ (vacina chikungunya) novo registro.md,0,1,98.75
chikungunya_qa_0003,Médica,Qual é a faixa etária indicada para a vacina IXCHIQ?,A vacina IXCHIQ é indicada para a prevenção da doença causada pelo vírus da chikungunya em indivíduos com 18 anos ou mais que estejam em risco aumentado de exposição ao vírus chikungunya.,A vacina é indicada IXCHIQ para a prevenção da doença causada pelo vírus da chikungunya em indivíduos com 18 anos ou mais que estejam em risco aumentado de exposição ao vírus chikungunya.,N/A (Geral),"#Vacinação, #Chikungunya",IXCHIQ (vacina chikungunya) novo registro.md,0,1,100
chikungunya_qa_0004,Médica,Quais são os critérios para a indicação da vacina IXCHIQ?,A vacina IXCHIQ é indicada para indivíduos com 18 anos ou mais que estejam em risco aumentado de exposição ao vírus chikungunya.,A vacina é indicada IXCHIQ para a prevenção da doença causada pelo vírus da chikungunya em indivíduos com 18 anos ou mais que estejam em risco aumentado de exposição ao vírus chikungunya.,N/A (Geral),"#Vacinação, #Chikungunya",IXCHIQ (vacina chikungunya) novo registro.md,0,1,100.0
chikungunya_qa_0005,Médica,Qual a população-alvo para a vacina IXCHIQ?,A população-alvo para a vacina IXCHIQ são indivíduos com 18 anos ou mais que estão em risco aumentado de exposição ao vírus chikungunya.,A vacina é indicada IXCHIQ para a prevenção da doença causada pelo vírus da chikungunya em indivíduos com 18 anos ou mais que estejam em risco aumentado de exposição ao vírus chikungunya.,N/A (Geral),"#Vacinação, #Chikungunya",IXCHIQ (vacina chikungunya) novo registro.md,0,2,100.0
chikungunya_qa_0006,Paciente,Para que serve a vacina IXCHIQ?,A vacina IXCHIQ serve para prevenir a doença causada pelo vírus da chikungunya.,IXCHIQ é uma vacina indicada para a prevenção da doença causada pelo vírus da chikungunya em indivíduos com 18 anos ou mais que estejam em risco aumentado de exposição ao vírus chikungunya,N/A (Geral),"#Tratamento, #Prevenção",IXCHIQ (vacina chikungunya) novo registro.md,1,1,95.0
chikungunya_qa_0007,Paciente,Quem pode se vacinar com a IXCHIQ?,A vacina IXCHIQ pode ser tomada por pessoas com 18 anos ou mais que estão em risco aumentado de exposição ao vírus chikungunya.,IXCHIQ é uma vacina indicada para a prevenção da doença causada pelo vírus da chikungunya em indivíduos com 18 anos ou mais que estejam em risco aumentado de exposição ao vírus chikungunya,N/A (Geral),"#Indicação, #Prevenção",IXCHIQ (vacina chikungunya) novo registro.md,1,1,100.0
chikungunya_qa_0008,Médica,Qual é a categoria da vacina IXCHIQ?,A vacina IXCHIQ é classificada como um Produto Biológico – Registro de Produto Novo.,Categoria | Produto Biológico – Registro de Produto Novo,N/A (Geral),"#Classificação, #ProdutoBiológico",IXCHIQ (vacina chikungunya) novo registro.md,1,1,100.0
chikungunya_qa_0009,Médica,Qual a empresa responsável pela vacina IXCHIQ?,A vacina IXCHIQ foi desenvolvida pelo Instituto Butantan.,Empresa | INSTITUTO BUTANTAN,N/A (Geral),"#Empresa, #Vacina",IXCHIQ (vacina chikungunya) novo registro.md,1,2,100.0
chikungunya_qa_0010,Paciente,Qual é a vacina que posso tomar para me proteger do vírus da chikungunya?,"A vacina que você pode tomar para se proteger do vírus da chikungunya é a IXCHIQ, que é uma vacina recombinante e atenuada. Ela é indicada para a prevenção da doença causada pelo vírus da chikungunya em indivíduos com 18 anos ou mais que estejam em risco aumentado de exposição ao vírus. A vacina foi publicada no Diário Oficial da União (DOU) em 14/04/2025.",| **Nome do produto** | IXCHIQ (vacina chikungunya [recombinante e atenuada]) |,N/A (Geral),"#Vacina, #Chikungunya",IXCHIQ (vacina chikungunya) novo registro.md,1,3,100
chikungunya_qa_0011,Médica,Qual é a empresa responsável pelo desenvolvimento da vacina IXCHIQ?,A empresa responsável pelo desenvolvimento da vacina IXCHIQ é o Instituto Butantan.,| **Empresa** | INSTITUTO BUTANTAN |,N/A (Geral),"#Vacina, #Empresa",IXCHIQ (vacina chikungunya) novo registro.md,1,3,100.0
chikungunya_qa_0012,Médica,Qual é a apresentação da vacina IXCHIQ?,"A vacina IXCHIQ está disponível na forma de pó liofilizado, que deve ser diluído em 0,5 mL de água para injetável antes da administração.","O produto é um pó liofilizado e será comercializado em apresentação para diluição com um frasco de pó liofilizado e uma seringa preenchida contendo 0,5 mL de água para injetável.",N/A (Geral),"#Vacina, #Apresentação",IXCHIQ (vacina chikungunya) novo registro.md,2,1,95.0
chikungunya_qa_0013,Médica,Qual é a classificação da vacina IXCHIQ?,A vacina IXCHIQ é classificada como uma vacina de **vírus vivo recombinante e atenuado**.,IXCHIQ é uma vacina contra Chikungunya de **vírus vivo recombinante e atenuado**.,N/A (Geral),"#Classificação, #Vacinação",IXCHIQ (vacina chikungunya) novo registro.md,2,2,100.0
chikungunya_qa_0014,Médica,Quais são os detalhes da administração da vacina IXCHIQ?,"A IXCHIQ deve ser administrada em uma dose única de 0,5 mL, utilizando o frasco de pó liofilizado diluído com 0,5 mL de água para injetável.","A IXCHIQ é administrada em **dose única de 0,5 mL**.",N/A (Geral),"#Administração, #Vacinação",IXCHIQ (vacina chikungunya) novo registro.md,2,2,100.0
chikungunya_qa_0015,Médica,Qual é a composição da vacina IXCHIQ?,"A vacina IXCHIQ é composta por vírus vivo recombinante e atenuado, apresentado em pó liofilizado.",IXCHIQ é uma vacina contra Chikungunya de **vírus vivo recombinante e atenuado**.,N/A (Geral),"#Vacina, #Composição",IXCHIQ (vacina chikungunya) novo registro.md,2,3,100.0
chikungunya_qa_0016,Médica,Qual a dose recomendada da vacina IXCHIQ?,"A dose recomendada da vacina IXCHIQ é de 0,5 mL, administrada em dose única.","A IXCHIQ é administrada em **dose única de 0,5 mL**.",N/A (Geral),"#Vacina, #Dose",IXCHIQ (vacina chikungunya) novo registro.md,2,3,100.0
chikungunya_qa_0017,Paciente,Quais são os sintomas da Chikungunya?,"Os sintomas da Chikungunya incluem febre e dor articular severa. A dor articular pode ser debilitante e, em muitos casos, persiste por vários meses ou até anos. A doença pode ser grave e, em algumas situações, levar a óbito. É importante ressaltar que, atualmente, não há vacina aprovada no Brasil para a prevenção desta doença.",A doença tem como sintomas febre e dor articular severa.,N/A (Geral),"#Sintomas, #Chikungunya",IXCHIQ (vacina chikungunya) novo registro.md,3,1,97.5
chikungunya_qa_0018,Paciente,A Chikungunya pode ser grave?,"Sim, a Chikungunya pode ser grave e levar a óbito.",A doença pode ser grave e levar a óbito.,N/A (Geral),"#Gravidade, #Chikungunya",IXCHIQ (vacina chikungunya) novo registro.md,3,1,100.0
chikungunya_qa_0019,Paciente,Quanto tempo os sintomas da Chikungunya podem durar?,Os sintomas podem persistir por vários meses ou até anos.,"A doença tem como sintomas febre e dor articular severa, é frequentemente debilitante e pode persistir por vários meses ou até anos.",N/A (Geral),"#Evolução, #Chikungunya",IXCHIQ (vacina chikungunya) novo registro.md,3,1,100.0
chikungunya_qa_0020,Médica,Quantos casos de Chikungunya foram registrados no Brasil em 2024?,"Em 2024, o Brasil registrou 265.000 casos prováveis de Chikungunya.",o Brasil registrou **265.000 casos prováveis** de Chikungunya.,N/A (Geral),"#Epidemiologia, #Chikungunya",IXCHIQ (vacina chikungunya) novo registro.md,3,1,95.0
